Titre,Annee_de_sortie,Duree,Genre,Realisateur,Note,Nombre_de_votants,Acteurs,Affiche,Recettes
Wind River,2017,107,"['Crime', 'Drama', 'Mystery']",Taylor Sheridan,7.7,271892.0,Graham Greene,/pySivdR845Hom4u4T2WNkJxe6Ad.jpg,44998252.0
Wind River,2017,107,"['Crime', 'Drama', 'Mystery']",Taylor Sheridan,7.7,271892.0,Kelsey Asbille,/pySivdR845Hom4u4T2WNkJxe6Ad.jpg,44998252.0
Detroit,2017,143,"['Crime', 'Drama', 'History']",Kathryn Bigelow,7.3,55294.0,John Boyega,/tmCt2hy9QoFHft3UcHwpGX2Sihl.jpg,23355100.0
Detroit,2017,143,"['Crime', 'Drama', 'History']",Kathryn Bigelow,7.3,55294.0,Anthony Mackie,/tmCt2hy9QoFHft3UcHwpGX2Sihl.jpg,23355100.0
Detroit,2017,143,"['Crime', 'Drama', 'History']",Kathryn Bigelow,7.3,55294.0,Algee Smith,/tmCt2hy9QoFHft3UcHwpGX2Sihl.jpg,23355100.0
Detroit,2017,143,"['Crime', 'Drama', 'History']",Kathryn Bigelow,7.3,55294.0,Jacob Latimore,/tmCt2hy9QoFHft3UcHwpGX2Sihl.jpg,23355100.0
Logan Lucky,2017,118,"['Action', 'Comedy', 'Crime']",Steven Soderbergh,7.0,159188.0,Channing Tatum,/mQrhrBaaHvRfBQq0Px3HtVbH9iE.jpg,48453605.0
Logan Lucky,2017,118,"['Action', 'Comedy', 'Crime']",Steven Soderbergh,7.0,159188.0,Adam Driver,/mQrhrBaaHvRfBQq0Px3HtVbH9iE.jpg,48453605.0
Logan Lucky,2017,118,"['Action', 'Comedy', 'Crime']",Steven Soderbergh,7.0,159188.0,Daniel Craig,/mQrhrBaaHvRfBQq0Px3HtVbH9iE.jpg,48453605.0
Logan Lucky,2017,118,"['Action', 'Comedy', 'Crime']",Steven Soderbergh,7.0,159188.0,Farrah Mackenzie,/mQrhrBaaHvRfBQq0Px3HtVbH9iE.jpg,48453605.0
Theri,2016,157,"['Action', 'Crime', 'Thriller']",Atlee,7.3,22434.0,Joseph Vijay,/f6BhexotEqO3GejXa3FopBNGL6M.jpg,26000000.0
Theri,2016,157,"['Action', 'Crime', 'Thriller']",Atlee,7.3,22434.0,Samantha Ruth Prabhu,/f6BhexotEqO3GejXa3FopBNGL6M.jpg,26000000.0
Theri,2016,157,"['Action', 'Crime', 'Thriller']",Atlee,7.3,22434.0,Amy Jackson,/f6BhexotEqO3GejXa3FopBNGL6M.jpg,26000000.0
Theri,2016,157,"['Action', 'Crime', 'Thriller']",Atlee,7.3,22434.0,Baby Nainika,/f6BhexotEqO3GejXa3FopBNGL6M.jpg,26000000.0
The Big Sick,2017,120,"['Comedy', 'Drama', 'Romance']",Michael Showalter,7.5,141486.0,Kumail Nanjiani,/qquEFkFbQX1i8Bal260EgGCnZ0f.jpg,56303596.0
The Big Sick,2017,120,"['Comedy', 'Drama', 'Romance']",Michael Showalter,7.5,141486.0,Zoe Kazan,/qquEFkFbQX1i8Bal260EgGCnZ0f.jpg,56303596.0
The Big Sick,2017,120,"['Comedy', 'Drama', 'Romance']",Michael Showalter,7.5,141486.0,Holly Hunter,/qquEFkFbQX1i8Bal260EgGCnZ0f.jpg,56303596.0
The Big Sick,2017,120,"['Comedy', 'Drama', 'Romance']",Michael Showalter,7.5,141486.0,Ray Romano,/qquEFkFbQX1i8Bal260EgGCnZ0f.jpg,56303596.0
Deadpool 2,2018,119,"['Action', 'Adventure', 'Comedy']",David Leitch,7.6,624491.0,Ryan Reynolds,/to0spRl1CMDvyUbOnbb4fTk3VAd.jpg,785896609.0
Deadpool 2,2018,119,"['Action', 'Adventure', 'Comedy']",David Leitch,7.6,624491.0,Josh Brolin,/to0spRl1CMDvyUbOnbb4fTk3VAd.jpg,785896609.0
Deadpool 2,2018,119,"['Action', 'Adventure', 'Comedy']",David Leitch,7.6,624491.0,Morena Baccarin,/to0spRl1CMDvyUbOnbb4fTk3VAd.jpg,785896609.0
Deadpool 2,2018,119,"['Action', 'Adventure', 'Comedy']",David Leitch,7.6,624491.0,Julian Dennison,/to0spRl1CMDvyUbOnbb4fTk3VAd.jpg,785896609.0
Border,2018,110,"['Crime', 'Drama', 'Fantasy']",Ali Abbasi,7.0,33393.0,Eva Melander,/8KzOTRlKjdAKQTemV41hq86ldFS.jpg,2045184.0
Border,2018,110,"['Crime', 'Drama', 'Fantasy']",Ali Abbasi,7.0,33393.0,Eero Milonoff,/8KzOTRlKjdAKQTemV41hq86ldFS.jpg,2045184.0
Border,2018,110,"['Crime', 'Drama', 'Fantasy']",Ali Abbasi,7.0,33393.0,Jörgen Thorsson,/8KzOTRlKjdAKQTemV41hq86ldFS.jpg,2045184.0
Border,2018,110,"['Crime', 'Drama', 'Fantasy']",Ali Abbasi,7.0,33393.0,Ann Petrén,/8KzOTRlKjdAKQTemV41hq86ldFS.jpg,2045184.0
The Dumpling Affair,2017,99,"['Comedy', 'Crime', 'Drama']",Ed Herzog,7.1,1987.0,Sebastian Bezzel,/8I9AqTEUrPiltwxgWg442YngqyI.jpg,7017501.0
The Dumpling Affair,2017,99,"['Comedy', 'Crime', 'Drama']",Ed Herzog,7.1,1987.0,Simon Schwarz,/8I9AqTEUrPiltwxgWg442YngqyI.jpg,7017501.0
The Dumpling Affair,2017,99,"['Comedy', 'Crime', 'Drama']",Ed Herzog,7.1,1987.0,Lisa Maria Potthoff,/8I9AqTEUrPiltwxgWg442YngqyI.jpg,7017501.0
The Dumpling Affair,2017,99,"['Comedy', 'Crime', 'Drama']",Ed Herzog,7.1,1987.0,Enzi Fuchs,/8I9AqTEUrPiltwxgWg442YngqyI.jpg,7017501.0
Oppam,2016,143,"['Action', 'Crime', 'Thriller']",Priyadarshan,7.3,4285.0,Mohanlal,/uPKPrjlzP5FEqy8wFvr5nuitFQP.jpg,10000000.0
Oppam,2016,143,"['Action', 'Crime', 'Thriller']",Priyadarshan,7.3,4285.0,Samuthirakani,/uPKPrjlzP5FEqy8wFvr5nuitFQP.jpg,10000000.0
Oppam,2016,143,"['Action', 'Crime', 'Thriller']",Priyadarshan,7.3,4285.0,Anusree,/uPKPrjlzP5FEqy8wFvr5nuitFQP.jpg,10000000.0
Oppam,2016,143,"['Action', 'Crime', 'Thriller']",Priyadarshan,7.3,4285.0,Vimala Raman,/uPKPrjlzP5FEqy8wFvr5nuitFQP.jpg,10000000.0
Maanagaram,2017,137,"['Action', 'Thriller']",Lokesh Kanagaraj,8.1,7395.0,Sundeep Kishan,/vZjFz8O1xy8TSe6EGNsLtUzA1DZ.jpg,1550000.0
Maanagaram,2017,137,"['Action', 'Thriller']",Lokesh Kanagaraj,8.1,7395.0,Sri,/vZjFz8O1xy8TSe6EGNsLtUzA1DZ.jpg,1550000.0
Maanagaram,2017,137,"['Action', 'Thriller']",Lokesh Kanagaraj,8.1,7395.0,Regina Cassandra,/vZjFz8O1xy8TSe6EGNsLtUzA1DZ.jpg,1550000.0
Maanagaram,2017,137,"['Action', 'Thriller']",Lokesh Kanagaraj,8.1,7395.0,Charlie,/vZjFz8O1xy8TSe6EGNsLtUzA1DZ.jpg,1550000.0
Pink,2016,136,"['Crime', 'Drama', 'Thriller']",Aniruddha Roy Chowdhury,8.1,47248.0,Amitabh Bachchan,/6xNhnyKm2M5FEOY7xv5iKiQ5P3.jpg,15020702.0
Pink,2016,136,"['Crime', 'Drama', 'Thriller']",Aniruddha Roy Chowdhury,8.1,47248.0,Taapsee Pannu,/6xNhnyKm2M5FEOY7xv5iKiQ5P3.jpg,15020702.0
Pink,2016,136,"['Crime', 'Drama', 'Thriller']",Aniruddha Roy Chowdhury,8.1,47248.0,Kirti Kulhari,/6xNhnyKm2M5FEOY7xv5iKiQ5P3.jpg,15020702.0
Pink,2016,136,"['Crime', 'Drama', 'Thriller']",Aniruddha Roy Chowdhury,8.1,47248.0,Andrea Tariang,/6xNhnyKm2M5FEOY7xv5iKiQ5P3.jpg,15020702.0
"I, Tonya",2017,119,"['Biography', 'Comedy', 'Drama']",Craig Gillespie,7.5,235909.0,Margot Robbie,/6gNXwSHxaksR1PjVZRqNapmkgj3.jpg,53939297.0
"I, Tonya",2017,119,"['Biography', 'Comedy', 'Drama']",Craig Gillespie,7.5,235909.0,Sebastian Stan,/6gNXwSHxaksR1PjVZRqNapmkgj3.jpg,53939297.0
"I, Tonya",2017,119,"['Biography', 'Comedy', 'Drama']",Craig Gillespie,7.5,235909.0,Allison Janney,/6gNXwSHxaksR1PjVZRqNapmkgj3.jpg,53939297.0
"I, Tonya",2017,119,"['Biography', 'Comedy', 'Drama']",Craig Gillespie,7.5,235909.0,Julianne Nicholson,/6gNXwSHxaksR1PjVZRqNapmkgj3.jpg,53939297.0
The Hate U Give,2018,133,"['Crime', 'Drama']",George Tillman Jr.,7.5,39248.0,Amandla Stenberg,/2icwBom0t5nmOuZI9FVXF3gkMK0.jpg,34934009.0
The Hate U Give,2018,133,"['Crime', 'Drama']",George Tillman Jr.,7.5,39248.0,Regina Hall,/2icwBom0t5nmOuZI9FVXF3gkMK0.jpg,34934009.0
The Hate U Give,2018,133,"['Crime', 'Drama']",George Tillman Jr.,7.5,39248.0,Russell Hornsby,/2icwBom0t5nmOuZI9FVXF3gkMK0.jpg,34934009.0
The Hate U Give,2018,133,"['Crime', 'Drama']",George Tillman Jr.,7.5,39248.0,Anthony Mackie,/2icwBom0t5nmOuZI9FVXF3gkMK0.jpg,34934009.0
Clash,2016,97,"['Drama', 'Thriller', 'War']",Mohamed Diab,7.4,6092.0,Nilli Karim,/mLik2mCwkD7V7OzvZRVS03PaCm7.jpg,18215.0
Clash,2016,97,"['Drama', 'Thriller', 'War']",Mohamed Diab,7.4,6092.0,Hany Adel,/mLik2mCwkD7V7OzvZRVS03PaCm7.jpg,18215.0
Clash,2016,97,"['Drama', 'Thriller', 'War']",Mohamed Diab,7.4,6092.0,Muhammad El-Sebai,/mLik2mCwkD7V7OzvZRVS03PaCm7.jpg,18215.0
Clash,2016,97,"['Drama', 'Thriller', 'War']",Mohamed Diab,7.4,6092.0,Muhammad El-Suwisi,/mLik2mCwkD7V7OzvZRVS03PaCm7.jpg,18215.0
Mid90s,2018,85,"['Comedy', 'Drama']",Jonah Hill,7.3,75161.0,Sunny Suljic,/9Tw0Y3DK5kGIU9X1yw3Q9gCkOlb.jpg,6897446.0
Mid90s,2018,85,"['Comedy', 'Drama']",Jonah Hill,7.3,75161.0,Katherine Waterston,/9Tw0Y3DK5kGIU9X1yw3Q9gCkOlb.jpg,6897446.0
Mid90s,2018,85,"['Comedy', 'Drama']",Jonah Hill,7.3,75161.0,Lucas Hedges,/9Tw0Y3DK5kGIU9X1yw3Q9gCkOlb.jpg,6897446.0
Mid90s,2018,85,"['Comedy', 'Drama']",Jonah Hill,7.3,75161.0,Na-kel Smith,/9Tw0Y3DK5kGIU9X1yw3Q9gCkOlb.jpg,6897446.0
Psycho Raman,2016,133,"['Crime', 'Drama', 'Thriller']",Anurag Kashyap,7.3,15659.0,Nawazuddin Siddiqui,/pvOHStFmbbttTC900Z4npCP7muY.jpg,1013926.0
Psycho Raman,2016,133,"['Crime', 'Drama', 'Thriller']",Anurag Kashyap,7.3,15659.0,Vicky Kaushal,/pvOHStFmbbttTC900Z4npCP7muY.jpg,1013926.0
Psycho Raman,2016,133,"['Crime', 'Drama', 'Thriller']",Anurag Kashyap,7.3,15659.0,Sobhita Dhulipala,/pvOHStFmbbttTC900Z4npCP7muY.jpg,1013926.0
Psycho Raman,2016,133,"['Crime', 'Drama', 'Thriller']",Anurag Kashyap,7.3,15659.0,Mukesh Chhabra,/pvOHStFmbbttTC900Z4npCP7muY.jpg,1013926.0
Mardaani 2,2019,103,"['Action', 'Crime', 'Drama']",Gopi Puthran,7.3,10085.0,Sunny Hinduja,/9Fk6SzvqFuPMGCfnkUSDANtOxVD.jpg,8680109.0
Mardaani 2,2019,103,"['Action', 'Crime', 'Drama']",Gopi Puthran,7.3,10085.0,Rani Mukerji,/9Fk6SzvqFuPMGCfnkUSDANtOxVD.jpg,8680109.0
Mardaani 2,2019,103,"['Action', 'Crime', 'Drama']",Gopi Puthran,7.3,10085.0,Jisshu Sengupta,/9Fk6SzvqFuPMGCfnkUSDANtOxVD.jpg,8680109.0
Mardaani 2,2019,103,"['Action', 'Crime', 'Drama']",Gopi Puthran,7.3,10085.0,Virti Vaghani,/9Fk6SzvqFuPMGCfnkUSDANtOxVD.jpg,8680109.0
Train to Busan,2016,118,"['Action', 'Horror', 'Thriller']",Sang-ho Yeon,7.6,246192.0,Gong Yoo,/vNVFt6dtcqnI7hqa6LFBUibuFiw.jpg,87547518.0
Train to Busan,2016,118,"['Action', 'Horror', 'Thriller']",Sang-ho Yeon,7.6,246192.0,Jung Yu-mi,/vNVFt6dtcqnI7hqa6LFBUibuFiw.jpg,87547518.0
Train to Busan,2016,118,"['Action', 'Horror', 'Thriller']",Sang-ho Yeon,7.6,246192.0,Ma Dong-seok,/vNVFt6dtcqnI7hqa6LFBUibuFiw.jpg,87547518.0
Train to Busan,2016,118,"['Action', 'Horror', 'Thriller']",Sang-ho Yeon,7.6,246192.0,Su-an Kim,/vNVFt6dtcqnI7hqa6LFBUibuFiw.jpg,87547518.0
Getting Grace,2017,112,"['Comedy', 'Drama']",Daniel Roebuck,7.0,444.0,Daniel Roebuck,/5KOpOc5ybc5ikLeZAaP03wVZkzN.jpg,220406.0
Getting Grace,2017,112,"['Comedy', 'Drama']",Daniel Roebuck,7.0,444.0,Madelyn Dundon,/5KOpOc5ybc5ikLeZAaP03wVZkzN.jpg,220406.0
Getting Grace,2017,112,"['Comedy', 'Drama']",Daniel Roebuck,7.0,444.0,Marsha Dietlein,/5KOpOc5ybc5ikLeZAaP03wVZkzN.jpg,220406.0
Getting Grace,2017,112,"['Comedy', 'Drama']",Daniel Roebuck,7.0,444.0,Dana Ashbrook,/5KOpOc5ybc5ikLeZAaP03wVZkzN.jpg,220406.0
Madaari,2016,133,"['Drama', 'Thriller']",Nishikant Kamat,7.6,14795.0,Irrfan Khan,/rrZhF166gPDzdArYMSh3mPvFjYp.jpg,4201176.0
Madaari,2016,133,"['Drama', 'Thriller']",Nishikant Kamat,7.6,14795.0,Jimmy Shergill,/rrZhF166gPDzdArYMSh3mPvFjYp.jpg,4201176.0
Madaari,2016,133,"['Drama', 'Thriller']",Nishikant Kamat,7.6,14795.0,Vishesh Bansal,/rrZhF166gPDzdArYMSh3mPvFjYp.jpg,4201176.0
Madaari,2016,133,"['Drama', 'Thriller']",Nishikant Kamat,7.6,14795.0,Tushar Dalvi,/rrZhF166gPDzdArYMSh3mPvFjYp.jpg,4201176.0
Finding Oscar,2016,100,"['Crime', 'Documentary', 'Drama']",Ryan Suffern,7.3,321.0,Non renseigné,/5OsYClr7XzyvGWixZaub7RMhsNM.jpg,21246.0
In the Fade,2017,106,"['Crime', 'Drama', 'Thriller']",Fatih Akin,7.1,35025.0,Numan Acar,/n53oMPqwnZxnk07uR0wYcgfH9vB.jpg,321011.0
In the Fade,2017,106,"['Crime', 'Drama', 'Thriller']",Fatih Akin,7.1,35025.0,Adam Bousdoukos,/n53oMPqwnZxnk07uR0wYcgfH9vB.jpg,321011.0
In the Fade,2017,106,"['Crime', 'Drama', 'Thriller']",Fatih Akin,7.1,35025.0,Diane Kruger,/n53oMPqwnZxnk07uR0wYcgfH9vB.jpg,321011.0
In the Fade,2017,106,"['Crime', 'Drama', 'Thriller']",Fatih Akin,7.1,35025.0,Denis Moschitto,/n53oMPqwnZxnk07uR0wYcgfH9vB.jpg,321011.0
Uncut Gems,2019,135,"['Crime', 'Drama', 'Thriller']",Non renseigné,7.4,307386.0,Adam Sandler,/6XN1vxHc7kUSqNWtaQKN45J5x2v.jpg,50020902.0
Uncut Gems,2019,135,"['Crime', 'Drama', 'Thriller']",Non renseigné,7.4,307386.0,Julia Fox,/6XN1vxHc7kUSqNWtaQKN45J5x2v.jpg,50020902.0
Uncut Gems,2019,135,"['Crime', 'Drama', 'Thriller']",Non renseigné,7.4,307386.0,Idina Menzel,/6XN1vxHc7kUSqNWtaQKN45J5x2v.jpg,50020902.0
Uncut Gems,2019,135,"['Crime', 'Drama', 'Thriller']",Non renseigné,7.4,307386.0,Mesfin Lamengo,/6XN1vxHc7kUSqNWtaQKN45J5x2v.jpg,50020902.0
Byomkesh Bakshi,2015,110,"['Mystery', 'Thriller']",Anjan Dutt,7.1,514.0,Jisshu Sengupta,/1OmAhDaKVUwX0ueUXR63xXfBNLj.jpg,190000.0
Byomkesh Bakshi,2015,110,"['Mystery', 'Thriller']",Anjan Dutt,7.1,514.0,Saswata Chatterjee,/1OmAhDaKVUwX0ueUXR63xXfBNLj.jpg,190000.0
Byomkesh Bakshi,2015,110,"['Mystery', 'Thriller']",Anjan Dutt,7.1,514.0,Kaushik Sen,/1OmAhDaKVUwX0ueUXR63xXfBNLj.jpg,190000.0
Byomkesh Bakshi,2015,110,"['Mystery', 'Thriller']",Anjan Dutt,7.1,514.0,Santilal Mukherjee,/1OmAhDaKVUwX0ueUXR63xXfBNLj.jpg,190000.0
Hindi Medium,2017,132,"['Comedy', 'Drama']",Saket Chaudhary,7.8,31318.0,Irrfan Khan,/2v0nQd3kYBV0iPNCVHiaLWGb1hg.jpg,52390000.0
Hindi Medium,2017,132,"['Comedy', 'Drama']",Saket Chaudhary,7.8,31318.0,Saba Qamar,/2v0nQd3kYBV0iPNCVHiaLWGb1hg.jpg,52390000.0
Hindi Medium,2017,132,"['Comedy', 'Drama']",Saket Chaudhary,7.8,31318.0,Dishita Sehgal,/2v0nQd3kYBV0iPNCVHiaLWGb1hg.jpg,52390000.0
Hindi Medium,2017,132,"['Comedy', 'Drama']",Saket Chaudhary,7.8,31318.0,Deepak Dobriyal,/2v0nQd3kYBV0iPNCVHiaLWGb1hg.jpg,52390000.0
Praktan,2016,142,"['Comedy', 'Drama']",Non renseigné,7.7,2415.0,Prasenjit Chatterjee,/frkbtyOUrIj3RmJ3WU6lMyvxVtg.jpg,1200000.0
Praktan,2016,142,"['Comedy', 'Drama']",Non renseigné,7.7,2415.0,Rituparna Sengupta,/frkbtyOUrIj3RmJ3WU6lMyvxVtg.jpg,1200000.0
Praktan,2016,142,"['Comedy', 'Drama']",Non renseigné,7.7,2415.0,Aparajita Adhya,/frkbtyOUrIj3RmJ3WU6lMyvxVtg.jpg,1200000.0
Praktan,2016,142,"['Comedy', 'Drama']",Non renseigné,7.7,2415.0,Biswanath Basu,/frkbtyOUrIj3RmJ3WU6lMyvxVtg.jpg,1200000.0
Toilet: A Love Story,2017,155,"['Comedy', 'Drama', 'Romance']",Shree Narayan Singh,7.2,22756.0,Akshay Kumar,/8YUBka56t4HcHLVMGnGA1WizpMV.jpg,13800000.0
Toilet: A Love Story,2017,155,"['Comedy', 'Drama', 'Romance']",Shree Narayan Singh,7.2,22756.0,Bhumi Pednekar,/8YUBka56t4HcHLVMGnGA1WizpMV.jpg,13800000.0
Toilet: A Love Story,2017,155,"['Comedy', 'Drama', 'Romance']",Shree Narayan Singh,7.2,22756.0,Anupam Kher,/8YUBka56t4HcHLVMGnGA1WizpMV.jpg,13800000.0
Toilet: A Love Story,2017,155,"['Comedy', 'Drama', 'Romance']",Shree Narayan Singh,7.2,22756.0,Divyendu Sharma,/8YUBka56t4HcHLVMGnGA1WizpMV.jpg,13800000.0
